AUC,durations,rates,IEI,startTimes,amps,jitter,cond,age,id,id2,T
609.3169762,13.07246377,1,232,316.8550725,79.45612372,1.025479196,3,8,15,1,3226
214.4684295,7.072463768,0.898550725,206,553.5483871,44.31250267,1.209677419,3,8,15,1,3226
564.8169005,12.02898551,0.985507246,NaN,766.6764706,78.66240317,0.842156863,3,8,15,1,3226
19.52774988,3.434782609,0.086956522,96,165.6666667,29.22565492,0.444444444,3,8,15,2,3226
32.00984203,3.579710145,0.028985507,212,262,30.01374207,1,3,8,15,2,3226
140.8999347,5.202898551,0.956521739,34,474.969697,41.78877274,0.649071359,3,8,15,2,3226
3.4819111,3.173913044,0.028985507,139,512,36.77119637,0,3,8,15,2,3226
9.67983593,3.246376812,0.043478261,158,651,33.60346476,0,3,8,15,2,3226
87.60114436,4.637681159,0.710144928,224,810.0612245,36.73891705,0.692140686,3,8,15,2,3226
187.9411889,6.115942029,0.913043478,80,1039.666667,46.96800417,0.751322751,3,8,15,2,3226
5.281471656,3.144927536,0.028985507,230,1122,28.15015221,0,3,8,15,2,3226
0.647788973,3.101449275,0.028985507,99,1352,23.67749882,0,3,8,15,2,3226
37.70544077,3.449275362,0.086956522,125,1453.333333,32.91828117,1.533333333,3,8,15,2,3226
7.276758945,3.202898551,0.072463768,199,1585,35.2090613,2,3,8,15,2,3226
-1.419474466,3.144927536,0.028985507,29,1786,32.83507347,0.75,3,8,15,2,3226
9.118586574,3.217391304,0.028985507,296,1815,27.00688744,0,3,8,15,2,3226
14.1581601,3.333333333,0.028985507,NaN,2111,31.42769623,0,3,8,15,2,3226
16.37298661,3.376811594,0.028985507,249,22,31.32390404,0,3,8,15,3,9224
507.8932217,11.2173913,0.942028986,8,274,62.05876599,0.677966102,3,8,15,3,9224
514.9308685,7.985507246,0.086956522,218,285,36.9590277,0.857142857,3,8,15,3,9224
12.70322265,3.072463768,0.028985507,619,504,28.76219304,0.333333333,3,8,15,3,9224
31.57773104,3.420289855,0.028985507,75,1123,27.57272657,1,3,8,15,3,9224
31.63968525,3.492753623,0.028985507,6,1198,37.04274813,0.666666667,3,8,15,3,9224
56.86393524,3.768115942,0.231884058,153,1205.8125,32.38218364,0.746323529,3,8,15,3,9224
24.20619682,3.31884058,0.101449275,699,1360.428571,34.69087519,0.489795918,3,8,15,3,9224
462.6092885,11.98550725,0.956521739,210,2061.015152,62.47481105,0.843434343,3,8,15,3,9224
176.2297148,6.246376812,0.826086957,NaN,2280.719298,37.38121691,0.950120399,3,8,15,3,9224
7.180467125,3.202898551,0.028985507,424,448,27.98683262,0,3,8,15,4,9224
709.023354,15.43478261,0.971014493,NaN,875.2089552,72.43757209,1.409056413,3,8,15,4,9224
547.4630535,10.92753623,1,7,289.9565217,65.11286915,0.675889328,3,8,15,5,9224
557.5484327,9,0.289855073,19,300.1,51.7810461,0.223809524,3,8,15,5,9224
60.97331283,4,0.304347826,132,321.2857143,31.3807592,0.670807453,3,8,15,5,9224
84.67061887,4.52173913,0.492753623,680,454.6470588,33.86851779,0.675630252,3,8,15,5,9224
537.7408012,12.68115942,0.985507246,517,1137.5,64.163726,1.196969697,3,8,15,5,9224
6.245261358,3.202898551,0.028985507,NaN,1659,36.76143456,0.666666667,3,8,15,5,9224
136.6895236,5.115942029,0.768115942,406,594.9433962,40.5532964,0.498398006,3,8,15,6,9224
132.7462979,4.739130435,0.695652174,134,1005.1875,35.23458004,1.196428571,3,8,15,6,9224
124.2078013,5.405797101,0.724637681,55,1146.56,40.31872925,0.797647059,3,8,15,6,9224
21.65599438,3.463768116,0.028985507,11,1203,41.67175674,0,3,8,15,6,9224
494.506609,10.94202899,0.985507246,403,1216.470588,63.95026939,1.208728653,3,8,15,6,9224
54.09970431,4.014492754,0.333333333,426,1623.73913,29.31062541,0.839319471,3,8,15,6,9224
253.1958533,7.449275362,0.985507246,NaN,2052.970588,48.31459251,0.636651584,3,8,15,6,9224
165.7029272,5.319148936,0.744680851,10,507.5428571,38.74545955,0.579047619,1,8,16,1,3226
101.2203843,3.390070922,0.028368794,19,519.5,29.79850483,0.5,1,8,16,1,3226
224.965538,5.737588653,0.695035461,142,540.9285714,40.74225462,0.663059163,1,8,16,1,3226
159.1582768,5.978723404,0.893617021,82,684.4365079,37.93480019,0.5199975,1,8,16,1,3226
121.90759,4.815602837,0.595744681,NaN,769.3214286,36.15859088,0.556122449,1,8,16,1,3226
840.8076514,14.58156028,0.992907801,308,646.6285714,87.7082504,0.556734694,1,8,16,2,3226
244.6664072,6.978723404,0.907801418,330,958.75,43.40890943,0.79296875,1,8,16,2,3226
77.78838636,3.312056738,0.070921986,46,1295.4,26.72903466,1,1,8,16,2,3226
43.70993776,3.340425532,0.14893617,539,1348.047619,28.87000338,0.544217687,1,8,16,2,3226
39.8196652,3.255319149,0.063829787,109,1889,25.83333986,0.909090909,1,8,16,2,3226
5.371445416,3.028368794,0.014184397,178,1999,20.17195511,0,1,8,16,2,3226
291.2149915,6.042553192,0.531914894,19,2180.746667,34.52317502,1.276239316,1,8,16,2,3226
614.3165029,10.53900709,0.971631206,NaN,2205.357664,83.00275095,0.474452555,1,8,16,2,3226
1356.993595,21.12903226,0.991935484,101,109.0325203,138.2271961,0.07074482,1,8,16,3,4612
213.4465089,6.637096774,0.790322581,163,212.4489796,44.86067484,0.585757707,1,8,16,3,4612
198.7685368,6.419354839,0.790322581,665,378.2857143,51.03649311,0.434343434,1,8,16,3,4612
89.78870868,3.451612903,0.064516129,71,1045.25,31.16741543,0.6,1,8,16,3,4612
412.1194924,9.370967742,0.991935484,386,1117.723577,53.56825179,0.541212241,1,8,16,3,4612
808.1375095,15.51612903,0.983870968,618,1506.811475,94.56411868,0.332571889,1,8,16,3,4612
514.3948261,10.84677419,1,NaN,2127.532258,79.83775611,0.546305931,1,8,16,3,4612
81.51132109,3.782258065,0.274193548,85,187.2352941,27.92601507,0.671280277,1,8,16,4,4612
316.4434931,8.024193548,0.975806452,466,274.9090909,64.5635884,0.22539444,1,8,16,4,4612
799.9278576,14.7983871,0.991935484,216,743.0894309,105.7613724,0.222090026,1,8,16,4,4612
488.4666601,8.048387097,0.790322581,87,961.0816327,58.569544,0.25212585,1,8,16,4,4612
199.2805667,6.411290323,0.774193548,661,1052.333333,48.10834341,0.567375887,1,8,16,4,4612
33.5418527,3.120967742,0.024193548,439,1717,23.37077236,0.25,1,8,16,4,4612
1583.473497,24.81451613,0.991935484,NaN,2156.95122,142.4566116,0.170136823,1,8,16,4,4612
185.0262314,4.422680412,0.731958763,462,194.1549296,44.0127674,0.976127954,2,8,16,1,3315
142.3273571,4.567010309,0.505154639,15,662.3673469,33.9178618,1.396217023,2,8,16,1,3315
30.98787014,3.24742268,0.020618557,76,683,28.30974007,0,2,8,16,1,3315
204.7594785,5.432989691,0.804123711,NaN,763.1794872,37.13381198,1.230334637,2,8,16,1,3315
640.5317531,12.48453608,0.948453608,33,178.0978261,60.24257283,0.960230179,2,8,16,2,3315
154.054569,4.412371134,0.371134021,8,215.4722222,39.30014752,0.870071685,2,8,16,2,3315
198.0400283,4.092783505,0.041237113,10,226.5,28.57628965,0.5,2,8,16,2,3315
198.5679557,3.680412371,0.020618557,193,237,41.84362984,0,2,8,16,2,3315
337.2791985,8.010309278,0.917525773,10,431.0337079,48.13246512,0.875082617,2,8,16,2,3315
107.1083451,3.835051546,0.103092784,194,447.8,37.47363892,0.76,2,8,16,2,3315
230.8338705,3.865979381,0.505154639,7,651.4489796,34.25490252,1.316326531,2,8,16,2,3315
302.8230006,4.556701031,0.06185567,608,664.5,37.81260899,0.642857143,2,8,16,2,3315
61.37152387,3.773195876,0.195876289,71,1273.736842,33.97203275,0.542936288,2,8,16,2,3315
